# Generated by timeskew on an x86 system
246.178318424 246.178318355 246.178318507 246.178318598 -6.9e-08 8.3e-08 9.1e-08
247.178387549 247.178387526 247.178387799 247.178387876 -2.3e-08 2.5e-07 7.7e-08
248.179380182 248.179380158 248.179380431 248.179380511 -2.4e-08 2.49e-07 8e-08
249.180380816 249.180380731 249.180381007 249.180381079 -8.5e-08 1.91e-07 7.2e-08
250.181384359 250.181384321 250.181384604 250.181384678 -3.8e-08 2.45e-07 7.4e-08
251.181993857 251.181993807 251.181994129 251.181994201 -5e-08 2.72e-07 7.2e-08
252.182381134 252.182381084 252.182381358 252.182381426 -5e-08 2.24e-07 6.8e-08
253.183119170 253.183119100 253.183119263 253.183119312 -7e-08 9.3e-08 4.9e-08
254.183854342 254.183854254 254.183854526 254.183854611 -8.8e-08 1.84e-07 8.5e-08
255.184740796 255.184740728 255.184740916 255.184740983 -6.8e-08 1.2e-07 6.7e-08
256.185472372 256.185472284 256.185472435 256.185472479 -8.8e-08 6.3e-08 4.4e-08
257.186285518 257.186285495 257.186285767 257.186285837 -2.3e-08 2.49e-07 7e-08
258.187017258 258.187017245 258.187017520 258.187017593 -1.3e-08 2.62e-07 7.3e-08
259.187747527 259.187747515 259.187747813 259.187747886 -1.2e-08 2.86e-07 7.3e-08
260.188660334 260.188660286 260.188660555 260.188660625 -4.8e-08 2.21e-07 7e-08
261.189532919 261.189532896 261.189533168 261.189533309 -2.3e-08 2.49e-07 1.41e-07
262.190384310 262.190384297 262.190384586 262.190384730 -1.3e-08 2.76e-07 1.44e-07
263.191110504 263.191110545 263.191110817 263.191110958 4.1e-08 3.13e-07 1.41e-07
264.191834933 264.191834973 264.191835246 264.191835387 4e-08 3.13e-07 1.41e-07
265.192712813 265.192712790 265.192713070 265.192713211 -2.3e-08 2.57e-07 1.41e-07
266.193434705 266.193434680 266.193434977 266.193435113 -2.5e-08 2.72e-07 1.36e-07
267.194303745 267.194303676 267.194303825 267.194303896 -6.9e-08 8e-08 7.1e-08
268.195114319 268.195114266 268.195114538 268.195114675 -5.3e-08 2.19e-07 1.37e-07
269.195769615 269.195769601 269.195769874 269.195770018 -1.4e-08 2.59e-07 1.44e-07
270.196639038 270.196638969 270.196639158 270.196639252 -6.9e-08 1.2e-07 9.4e-08
271.197557446 271.197557381 271.197557657 271.197557801 -6.5e-08 2.11e-07 1.44e-07
272.197843150 272.197843053 272.197843202 272.197843237 -9.7e-08 5.2e-08 3.5e-08
273.198394616 273.198394520 273.198394678 273.198394714 -9.6e-08 6.2e-08 3.6e-08
274.199093357 274.199093260 274.199093411 274.199093447 -9.7e-08 5.4e-08 3.6e-08
275.200047962 275.200047893 275.200048074 275.200048235 -6.9e-08 1.12e-07 1.61e-07
276.200745148 276.200745051 276.200745240 276.200745277 -9.7e-08 9.2e-08 3.7e-08
277.201440850 277.201440759 277.201440922 277.201440958 -9.1e-08 7.2e-08 3.6e-08
278.202134974 278.202134876 278.202135025 278.202135050 -9.8e-08 5.1e-08 2.5e-08
279.202828273 279.202828176 279.202828325 279.202828350 -9.7e-08 5.2e-08 2.5e-08
280.203522644 280.203522606 280.203522935 280.203523076 -3.8e-08 2.91e-07 1.41e-07
281.204098694 281.204098626 281.204098896 281.204099067 -6.8e-08 2.02e-07 1.71e-07
282.204944671 282.204944601 282.204944783 282.204944831 -7e-08 1.12e-07 4.8e-08
